smiles,pIC50(M)
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(C(=O)O)cnc2N2C3CCC2CN(C)C3)c[nH]1,8.221848749616356
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(NC(=O)C(C)C)c4)c(O)oc3c2Cl)OC1(C)C,7.136677139879544
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4cc(C)c(O)c(C)c4)c(O)oc3c2Cl)OC1(C)C,7.187086643357144
CO[C@@H]1[C@@H](OC(N)=O)[C@H](O)[C@@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C,6.698970004336019
O=C(O)CC(=O)N1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,4.966576244513051
Cc1[nH]c(C(=O)NC2CCN(C(=O)CCC(=O)O)CC2)c(Cl)c1Cl,6.318758762624412
O=C(O)CC(=O)N1CCN(C(=O)c2cc(Br)c(Br)[nH]2)CC1,2.96657624451305
COC(=O)CCC(=O)N1CCC(NC(=O)c2[nH]c(C)c(Cl)c2Cl)CC1,4.698970004336019
CC(C)(C)OC(=O)N1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,4.301029995663981
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cncc(C(=O)O)c2)c[nH]1,8.221848749616356
CO[C@@H]1[C@@H](O)[C@@H](OC(=O)c2ccc(C)[nH]2)[C@H](Oc2ccc3c(=O)c(NC(=O)c4cc(C)c(O)c(C)c4)c(O)oc3c2Cl)OC1(C)C,6.424812155072339
Nc1ccc2c(c1)Oc1c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn-2c13,4.931814138253839
